Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RandomForest,NaN,0.000,0.211,0.000
BOOKKEEPER,2,RandomForest,NaN,0.000,0.904,0.000
BOOKKEEPER,3,RandomForest,0.021,0.667,0.049,0.032
BOOKKEEPER,4,RandomForest,1.000,0.034,0.259,0.060
BOOKKEEPER,5,RandomForest,1.000,0.015,0.807,0.024
BOOKKEEPER,6,RandomForest,0.250,0.375,0.186,0.281
BOOKKEEPER,1,NaiveBayes,NaN,0.000,0.175,0.000
BOOKKEEPER,2,NaiveBayes,0.667,0.015,0.798,0.018
BOOKKEEPER,3,NaiveBayes,0.020,0.667,0.019,0.030
BOOKKEEPER,4,NaiveBayes,0.429,0.203,0.249,0.232
BOOKKEEPER,5,NaiveBayes,0.852,0.170,0.587,0.235
BOOKKEEPER,6,NaiveBayes,0.130,0.563,0.165,0.183
BOOKKEEPER,1,IBk,NaN,0.000,0.211,0.000
BOOKKEEPER,2,IBk,1.000,0.636,0.733,0.719
BOOKKEEPER,3,IBk,0.016,0.667,0.012,0.022
BOOKKEEPER,4,IBk,0.235,0.203,0.118,0.149
BOOKKEEPER,5,IBk,0.962,0.370,0.476,0.480
BOOKKEEPER,6,IBk,0.120,0.938,0.114,0.181
