Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,ChgSetSize,Age,Buggyness
0.9.0.1,examples/src/main/java/backtype/storm/contrib/jms/example/ExampleJmsTopology.java,114,6,2,123,109,20.500,114,109,19.000,7,116,N
0.9.0.1,src/jvm/backtype/storm/Config.java,1632,111,16,2019,299,18.189,1632,299,14.703,334,125,N
0.9.0.1,src/jvm/backtype/storm/Constants.java,45,19,6,59,6,3.105,45,6,2.368,274,125,N
0.9.0.1,src/jvm/backtype/storm/ILocalCluster.java,55,12,6,64,16,5.333,55,16,4.583,230,125,N
0.9.0.1,src/jvm/backtype/storm/ILocalDRPC.java,21,4,2,23,10,5.750,21,10,5.250,169,120,N
0.9.0.1,src/jvm/backtype/storm/StormSubmitter.java,286,29,5,329,96,11.345,286,96,9.862,283,125,N
0.9.0.1,src/jvm/backtype/storm/clojure/ClojureBolt.java,142,14,4,222,94,15.857,142,94,10.143,207,125,N
0.9.0.1,src/jvm/backtype/storm/clojure/ClojureSpout.java,172,10,4,227,109,22.700,172,109,17.200,172,123,N
0.9.0.1,src/jvm/backtype/storm/clojure/RichShellBolt.java,102,5,4,106,34,21.200,102,34,20.400,170,108,N
0.9.0.1,src/jvm/backtype/storm/clojure/RichShellSpout.java,102,3,3,102,34,34.000,102,34,34.000,168,102,N
0.9.0.1,src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,179,12,5,205,90,17.083,179,90,14.917,205,106,N
0.9.0.1,src/jvm/backtype/storm/coordination/BatchOutputCollector.java,58,5,3,61,27,12.200,58,27,11.600,175,106,N
0.9.0.1,src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,72,5,3,73,31,14.600,72,31,14.400,175,106,N
0.9.0.1,src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,838,3,1,849,430,283.000,838,430,279.333,5,85,N
0.9.0.1,src/jvm/backtype/storm/coordination/CoordinatedBolt.java,858,39,6,1203,327,30.846,858,327,22.000,243,111,N
0.9.0.1,src/jvm/backtype/storm/coordination/IBatchBolt.java,26,4,3,29,13,7.250,26,13,6.500,174,106,N
0.9.0.1,src/jvm/backtype/storm/daemon/Shutdownable.java,5,1,1,5,5,5.000,5,5,5.000,108,125,N
0.9.0.1,src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,222,5,2,224,74,44.800,222,74,44.400,168,109,N
0.9.0.1,src/jvm/backtype/storm/drpc/DRPCSpout.java,302,24,6,378,159,15.750,302,159,12.583,204,120,N
0.9.0.1,src/jvm/backtype/storm/drpc/JoinResult.java,113,14,4,147,62,10.500,113,62,8.071,214,119,N
0.9.0.1,src/jvm/backtype/storm/drpc/KeyedFairBolt.java,36,7,3,50,18,7.143,36,15,5.143,179,119,N
0.9.0.1,src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,65,8,3,80,32,10.000,65,32,8.125,173,119,N
0.9.0.1,src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,767,21,3,949,366,45.190,767,366,36.524,184,119,N
0.9.0.1,src/jvm/backtype/storm/drpc/PrepareRequest.java,81,8,3,104,43,13.000,81,43,10.125,173,119,N
0.9.0.1,src/jvm/backtype/storm/drpc/ReturnResults.java,111,21,4,185,48,8.810,111,48,5.286,227,125,N
0.9.0.1,src/jvm/backtype/storm/generated/AlreadyAliveException.java,336,4,2,447,320,111.750,336,320,84.000,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/Bolt.java,151,7,3,778,559,111.143,151,559,21.571,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/BoltStats.java,1475,9,2,2015,747,223.889,1475,747,163.889,207,125,N
0.9.0.1,src/jvm/backtype/storm/generated/ClusterSummary.java,613,7,2,866,583,123.714,613,583,87.571,202,125,N
0.9.0.1,src/jvm/backtype/storm/generated/ComponentCommon.java,1198,10,3,1457,455,145.700,1198,455,119.800,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/ComponentObject.java,469,5,2,600,301,120.000,469,301,93.800,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/DRPCExecutionException.java,656,2,2,656,328,328.000,656,328,328.000,169,120,N
0.9.0.1,src/jvm/backtype/storm/generated/DRPCRequest.java,850,2,2,850,425,425.000,850,425,425.000,169,120,N
0.9.0.1,src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,6045,3,2,6045,2015,2015.000,6045,2015,2015.000,168,109,N
0.9.0.1,src/jvm/backtype/storm/generated/ErrorInfo.java,438,4,2,576,412,144.000,438,412,109.500,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/ExecutorInfo.java,1260,3,2,1260,420,420.000,1260,420,420.000,61,90,N
0.9.0.1,src/jvm/backtype/storm/generated/ExecutorSummary.java,18,3,2,258,86,86.000,18,6,6.000,61,90,N
0.9.0.1,src/jvm/backtype/storm/generated/GlobalStreamId.java,449,6,2,756,406,126.000,449,406,74.833,196,125,N
0.9.0.1,src/jvm/backtype/storm/generated/Grouping.java,864,6,2,1044,460,174.000,864,460,144.000,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/InvalidTopologyException.java,336,4,2,447,320,111.750,336,320,84.000,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/JavaObject.java,926,2,2,926,463,463.000,926,463,463.000,168,116,N
0.9.0.1,src/jvm/backtype/storm/generated/JavaObjectArg.java,1064,2,2,1064,532,532.000,1064,532,532.000,168,116,N
0.9.0.1,src/jvm/backtype/storm/generated/KillOptions.java,640,2,2,640,320,320.000,640,320,320.000,168,120,N
0.9.0.1,src/jvm/backtype/storm/generated/Nimbus.java,22495,19,6,28903,7967,1521.211,22495,7967,1183.947,247,125,N
0.9.0.1,src/jvm/backtype/storm/generated/NotAliveException.java,336,4,2,447,320,111.750,336,320,84.000,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/NullStruct.java,231,4,2,317,219,79.250,231,219,57.750,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/RebalanceOptions.java,869,7,2,915,320,130.714,869,320,124.143,173,111,N
0.9.0.1,src/jvm/backtype/storm/generated/ShellComponent.java,427,4,2,557,407,139.250,427,407,106.750,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/SpoutSpec.java,248,6,3,691,509,115.167,248,509,41.333,198,125,N
0.9.0.1,src/jvm/backtype/storm/generated/SpoutStats.java,768,11,2,1565,744,142.273,768,744,69.818,208,125,N
0.9.0.1,src/jvm/backtype/storm/generated/StateSpoutSpec.java,437,4,2,573,417,143.250,437,417,109.250,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/StormTopology.java,660,9,2,1295,648,143.889,660,648,73.333,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/StreamInfo.java,475,5,2,638,449,127.600,475,449,95.000,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/SubmitOptions.java,1360,4,3,1360,340,340.000,1360,340,340.000,34,77,N
0.9.0.1,src/jvm/backtype/storm/generated/SupervisorSummary.java,822,6,2,1018,590,169.667,822,590,137.000,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/TaskSpecificStats.java,334,4,2,450,302,112.500,334,302,83.500,195,125,N
0.9.0.1,src/jvm/backtype/storm/generated/TaskStats.java,691,9,2,1192,667,132.444,691,667,76.778,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/TaskSummary.java,703,11,2,1376,906,125.091,703,906,63.909,203,125,N
0.9.0.1,src/jvm/backtype/storm/generated/TopologyInfo.java,1196,16,3,1725,640,107.813,1196,640,74.750,229,125,N
0.9.0.1,src/jvm/backtype/storm/generated/TopologyInitialStatus.java,176,4,3,176,44,44.000,176,44,44.000,34,77,N
0.9.0.1,src/jvm/backtype/storm/generated/TopologySummary.java,512,8,3,778,203,97.250,512,118,64.000,219,125,N
0.9.0.1,src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,53,11,4,83,27,7.545,53,27,4.818,198,116,N
0.9.0.1,src/jvm/backtype/storm/hooks/BaseTaskHook.java,84,12,3,105,43,8.750,84,43,7.000,201,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/ITaskHook.java,26,10,3,30,20,3.000,26,20,2.600,198,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/TaskHook.java,15,2,1,19,17,9.500,15,17,7.500,10,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,30,8,4,41,13,5.125,30,13,3.750,198,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,30,2,1,30,15,15.000,30,15,15.000,13,67,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,30,7,4,38,13,5.429,30,13,4.286,198,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/EmitInfo.java,36,4,3,38,16,9.500,36,16,9.000,171,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,26,7,4,34,11,4.857,26,11,3.714,198,100,N
0.9.0.1,src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,26,7,4,34,11,4.857,26,11,3.714,198,100,N
0.9.0.1,src/jvm/backtype/storm/messaging/IConnection.java,42,4,2,48,21,12.000,42,21,10.500,8,45,N
0.9.0.1,src/jvm/backtype/storm/messaging/IContext.java,84,4,2,85,42,21.250,84,42,21.000,7,45,N
0.9.0.1,src/jvm/backtype/storm/messaging/TaskMessage.java,72,4,2,79,36,19.750,72,36,18.000,7,45,N
