Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
STORM,878,0.0296842,0.0000000,1.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5000000,0.0000000
STORM,1965,0.0664345,0.0142857,0.9857143,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9223046,0.0000000
STORM,3164,0.1069714,0.3526448,0.6473552,random forest,no sampling,no selection,no cost sensitive,0.0116732,0.0000000,1.0000000,0.9883268,1.0000000,0.0116732,0.9191333,0.0187371
STORM,4505,0.1523091,0.5408719,0.4591281,random forest,no sampling,no selection,no cost sensitive,0.1661721,0.0000000,1.0000000,0.8338279,1.0000000,0.1661721,0.9921401,0.2354759
STORM,5988,0.2024478,0.6740129,0.3259871,random forest,no sampling,no selection,no cost sensitive,0.4957746,0.0000000,1.0000000,0.5042254,1.0000000,0.4957746,0.9891937,0.6075284
STORM,7656,0.2588410,0.9453125,0.0546875,random forest,no sampling,no selection,no cost sensitive,0.4126984,0.1364486,0.8635514,0.5873016,0.1061224,0.4126984,0.8287791,0.1156948
STORM,9324,0.3152343,0.9411765,0.0588235,random forest,no sampling,no selection,no cost sensitive,0.5416667,0.0753119,0.9246881,0.4583333,0.1875000,0.5416667,0.9011036,0.2436365
STORM,11640,0.3935357,0.8711744,0.1288256,random forest,no sampling,no selection,no cost sensitive,0.0386740,0.0177570,0.9822430,0.9613260,0.1555556,0.0386740,0.7445474,0.0318816
STORM,13961,0.4720062,0.8864353,0.1135647,random forest,no sampling,no selection,no cost sensitive,0.0611111,0.0004671,0.9995329,0.9388889,0.9166667,0.0611111,0.9954357,0.1059160
STORM,16282,0.5504767,0.8386243,0.1613757,random forest,no sampling,no selection,no cost sensitive,0.3409836,0.0004662,0.9995338,0.6590164,0.9904762,0.3409836,0.9727066,0.4737626
STORM,18732,0.6333085,0.8479139,0.1520861,random forest,no sampling,no selection,no cost sensitive,0.5663717,0.0000000,1.0000000,0.4336283,1.0000000,0.5663717,0.9997652,0.6928910
STORM,21219,0.7173913,0.8673152,0.1326848,random forest,no sampling,no selection,no cost sensitive,0.9002933,0.0004647,0.9995353,0.0997067,0.9967532,0.9002933,0.9992655,0.9380248
STORM,23712,0.8016769,0.8647376,0.1352624,random forest,no sampling,no selection,no cost sensitive,0.7388060,0.0007971,0.9992029,0.2611940,0.9933110,0.7388060,0.9873902,0.8269779
STORM,26623,0.9000947,0.8700234,0.1299766,random forest,no sampling,no selection,no cost sensitive,0.6824324,0.0000000,1.0000000,0.3175676,1.0000000,0.6824324,0.9887508,0.7850433
STORM,878,0.0296842,0.0000000,1.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.1317972,0.0000000
STORM,1965,0.0664345,0.0142857,0.9857143,naive bayes,no sampling,no selection,no cost sensitive,0.0652174,0.0103676,0.9896324,0.9347826,0.4500000,0.0652174,0.7557199,0.0873305
STORM,3164,0.1069714,0.3526448,0.6473552,naive bayes,no sampling,no selection,no cost sensitive,0.3307393,0.0119926,0.9880074,0.6692607,0.8673469,0.3307393,0.9277769,0.4172072
STORM,4505,0.1523091,0.5408719,0.4591281,naive bayes,no sampling,no selection,no cost sensitive,0.1008902,0.0174520,0.9825480,0.8991098,0.6296296,0.1008902,0.9201014,0.1185890
STORM,5988,0.2024478,0.6740129,0.3259871,naive bayes,no sampling,no selection,no cost sensitive,0.2281690,0.0898705,0.9101295,0.7718310,0.4070352,0.2281690,0.8440728,0.1647023
STORM,7656,0.2588410,0.9453125,0.0546875,naive bayes,no sampling,no selection,no cost sensitive,0.0634921,0.0118380,0.9881620,0.9365079,0.1739130,0.0634921,0.8165653,0.0743223
STORM,9324,0.3152343,0.9411765,0.0588235,naive bayes,no sampling,no selection,no cost sensitive,0.8888889,0.2268271,0.7731729,0.1111111,0.1116928,0.8888889,0.8617888,0.1515870
STORM,11640,0.3935357,0.8711744,0.1288256,naive bayes,no sampling,no selection,no cost sensitive,0.0386740,0.0014019,0.9985981,0.9613260,0.7000000,0.0386740,0.8165694,0.0656688
STORM,13961,0.4720062,0.8864353,0.1135647,naive bayes,no sampling,no selection,no cost sensitive,0.0111111,0.0014012,0.9985988,0.9888889,0.4000000,0.0111111,0.9625201,0.0175030
STORM,16282,0.5504767,0.8386243,0.1613757,naive bayes,no sampling,no selection,no cost sensitive,0.5967213,0.0013986,0.9986014,0.4032787,0.9837838,0.5967213,0.9945959,0.7161771
STORM,18732,0.6333085,0.8479139,0.1520861,naive bayes,no sampling,no selection,no cost sensitive,0.3539823,0.0009311,0.9990689,0.6460177,0.9836066,0.3539823,0.9876458,0.4833318
STORM,21219,0.7173913,0.8673152,0.1326848,naive bayes,no sampling,no selection,no cost sensitive,0.1231672,0.0004647,0.9995353,0.8768328,0.9767442,0.1231672,0.9890636,0.1940611
STORM,23712,0.8016769,0.8647376,0.1352624,naive bayes,no sampling,no selection,no cost sensitive,0.3930348,0.0976485,0.9023515,0.6069652,0.3920596,0.3930348,0.8851101,0.2950782
STORM,26623,0.9000947,0.8700234,0.1299766,naive bayes,no sampling,no selection,no cost sensitive,0.0247748,0.0059737,0.9940263,0.9752252,0.4230769,0.0247748,0.9615861,0.0306950
STORM,878,0.0296842,0.0000000,1.0000000,ibk,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5032258,0.0000000
STORM,1965,0.0664345,0.0142857,0.9857143,ibk,no sampling,no selection,no cost sensitive,0.0144928,0.0000000,1.0000000,0.9855072,1.0000000,0.0144928,0.5072464,0.0253664
STORM,3164,0.1069714,0.3526448,0.6473552,ibk,no sampling,no selection,no cost sensitive,0.2957198,0.0562731,0.9437269,0.7042802,0.5547445,0.2957198,0.6142153,0.2913377
STORM,4505,0.1523091,0.5408719,0.4591281,ibk,no sampling,no selection,no cost sensitive,0.6350148,0.0148342,0.9851658,0.3649852,0.9264069,0.6350148,0.8107273,0.6976334
STORM,5988,0.2024478,0.6740129,0.3259871,ibk,no sampling,no selection,no cost sensitive,0.9352113,0.0700685,0.9299315,0.0647887,0.7830189,0.9352113,0.9325714,0.8078595
STORM,7656,0.2588410,0.9453125,0.0546875,ibk,no sampling,no selection,no cost sensitive,0.5873016,0.1956386,0.8043614,0.4126984,0.1054131,0.5873016,0.6958315,0.1225481
STORM,9324,0.3152343,0.9411765,0.0588235,ibk,no sampling,no selection,no cost sensitive,0.6388889,0.1858289,0.8141711,0.3611111,0.0993521,0.6388889,0.7729315,0.1248733
STORM,11640,0.3935357,0.8711744,0.1288256,ibk,no sampling,no selection,no cost sensitive,0.0883978,0.0252336,0.9747664,0.9116022,0.2285714,0.0883978,0.5349693,0.0878128
STORM,13961,0.4720062,0.8864353,0.1135647,ibk,no sampling,no selection,no cost sensitive,0.9944444,0.0004671,0.9995329,0.0055556,0.9944444,0.9944444,0.9969887,0.9939774
STORM,16282,0.5504767,0.8386243,0.1613757,ibk,no sampling,no selection,no cost sensitive,0.6327869,0.0009324,0.9990676,0.3672131,0.9897436,0.6327869,0.9857786,0.7474798
STORM,18732,0.6333085,0.8479139,0.1520861,ibk,no sampling,no selection,no cost sensitive,0.8879056,0.0004655,0.9995345,0.1120944,0.9966887,0.8879056,0.9437509,0.9301913
STORM,21219,0.7173913,0.8673152,0.1326848,ibk,no sampling,no selection,no cost sensitive,0.9765396,0.0013941,0.9986059,0.0234604,0.9910714,0.9765396,0.9876096,0.9811992
STORM,23712,0.8016769,0.8647376,0.1352624,ibk,no sampling,no selection,no cost sensitive,0.8159204,0.0366680,0.9633320,0.1840796,0.7809524,0.8159204,0.8932227,0.7648721
STORM,26623,0.9000947,0.8700234,0.1299766,ibk,no sampling,no selection,no cost sensitive,0.9099099,0.0000000,1.0000000,0.0900901,1.0000000,0.9099099,0.9527745,0.9449487
STORM,878,0.0296842,0.0000000,1.0000000,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5000000,0.0000000
STORM,1965,0.0664345,0.0142857,0.9857143,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.8578146,0.0000000
STORM,3164,0.1069714,0.3526448,0.6473552,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9231625,0.0000000
STORM,4505,0.1523091,0.5408719,0.4591281,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9869278,0.0000000
STORM,5988,0.2024478,0.6740129,0.3259871,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9912114,0.0000000
STORM,7656,0.2588410,0.9453125,0.0546875,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.8325570,0.0000000
STORM,9324,0.3152343,0.9411765,0.0588235,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9075126,0.0000000
STORM,11640,0.3935357,0.8711744,0.1288256,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.7350196,0.0000000
STORM,13961,0.4720062,0.8864353,0.1135647,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9788261,0.0000000
STORM,16282,0.5504767,0.8386243,0.1613757,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9765211,0.0000000
STORM,18732,0.6333085,0.8479139,0.1520861,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9986830,0.0000000
STORM,21219,0.7173913,0.8673152,0.1326848,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9989153,0.0000000
STORM,23712,0.8016769,0.8647376,0.1352624,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9874135,0.0000000
STORM,26623,0.9000947,0.8700234,0.1299766,random forest,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9881073,0.0000000
STORM,878,0.0296842,0.0000000,1.0000000,naive bayes,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.1317972,0.0000000
STORM,1965,0.0664345,0.0142857,0.9857143,naive bayes,no sampling,no selection,sensitive learning,0.0507246,0.0103676,0.9896324,0.9492754,0.3888889,0.0507246,0.7557199,0.0649070
STORM,3164,0.1069714,0.3526448,0.6473552,naive bayes,no sampling,no selection,sensitive learning,0.3190661,0.0119926,0.9880074,0.6809339,0.8631579,0.3190661,0.9266641,0.4042845
STORM,4505,0.1523091,0.5408719,0.4591281,naive bayes,no sampling,no selection,sensitive learning,0.0979228,0.0174520,0.9825480,0.9020772,0.6226415,0.0979228,0.9066667,0.1145420
STORM,5988,0.2024478,0.6740129,0.3259871,naive bayes,no sampling,no selection,sensitive learning,0.2140845,0.0898705,0.9101295,0.7859155,0.3917526,0.2140845,0.8324491,0.1488396
STORM,7656,0.2588410,0.9453125,0.0546875,naive bayes,no sampling,no selection,sensitive learning,0.0476190,0.0118380,0.9881620,0.9523810,0.1363636,0.0476190,0.8001483,0.0520546
STORM,9324,0.3152343,0.9411765,0.0588235,naive bayes,no sampling,no selection,sensitive learning,0.8333333,0.2290553,0.7709447,0.1666667,0.1045296,0.8333333,0.8528267,0.1381442
STORM,11640,0.3935357,0.8711744,0.1288256,naive bayes,no sampling,no selection,sensitive learning,0.0386740,0.0014019,0.9985981,0.9613260,0.7000000,0.0386740,0.8458848,0.0656688
STORM,13961,0.4720062,0.8864353,0.1135647,naive bayes,no sampling,no selection,sensitive learning,0.0111111,0.0014012,0.9985988,0.9888889,0.4000000,0.0111111,0.9385308,0.0175030
STORM,16282,0.5504767,0.8386243,0.1613757,naive bayes,no sampling,no selection,sensitive learning,0.5704918,0.0013986,0.9986014,0.4295082,0.9830508,0.5704918,0.9908204,0.6940155
STORM,18732,0.6333085,0.8479139,0.1520861,naive bayes,no sampling,no selection,sensitive learning,0.3480826,0.0009311,0.9990689,0.6519174,0.9833333,0.3480826,0.9773707,0.4768769
STORM,21219,0.7173913,0.8673152,0.1326848,naive bayes,no sampling,no selection,sensitive learning,0.1114370,0.0004647,0.9995353,0.8885630,0.9743590,0.1114370,0.9774860,0.1768899
STORM,23712,0.8016769,0.8647376,0.1352624,naive bayes,no sampling,no selection,sensitive learning,0.3706468,0.1048226,0.8951774,0.6293532,0.3616505,0.3706468,0.8700648,0.2630763
STORM,26623,0.9000947,0.8700234,0.1299766,naive bayes,no sampling,no selection,sensitive learning,0.0337838,0.0063720,0.9936280,0.9662162,0.4838710,0.0337838,0.9272660,0.0444169
STORM,878,0.0296842,0.0000000,1.0000000,ibk,no sampling,no selection,sensitive learning,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5032258,0.0000000
