Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
STORM,1,RandomForest,NaN,NaN,NaN,1.000
STORM,2,RandomForest,NaN,0.000,0.003,0.000
STORM,3,RandomForest,NaN,0.000,0.280,0.000
STORM,4,RandomForest,NaN,0.000,0.831,0.000
STORM,5,RandomForest,1.000,0.017,0.981,0.027
STORM,6,RandomForest,0.011,0.091,0.021,0.007
STORM,7,RandomForest,0.143,0.273,0.119,0.182
STORM,8,RandomForest,0.200,0.071,0.028,0.102
STORM,9,RandomForest,NaN,0.000,0.178,0.000
STORM,10,RandomForest,1.000,0.030,0.765,0.051
STORM,11,RandomForest,1.000,0.015,0.997,0.025
STORM,12,RandomForest,0.962,0.074,0.987,0.120
STORM,13,RandomForest,1.000,0.328,0.954,0.457
STORM,1,NaiveBayes,NaN,NaN,NaN,1.000
STORM,2,NaiveBayes,NaN,0.000,0.003,0.000
STORM,3,NaiveBayes,1.000,0.010,0.283,0.018
STORM,4,NaiveBayes,0.568,0.063,0.670,0.071
STORM,5,NaiveBayes,0.408,0.166,0.438,0.130
STORM,6,NaiveBayes,0.045,0.091,0.033,0.052
STORM,7,NaiveBayes,0.013,0.636,0.015,0.017
STORM,8,NaiveBayes,0.091,0.071,0.030,0.075
STORM,9,NaiveBayes,0.250,0.006,0.199,0.008
STORM,10,NaiveBayes,0.971,0.436,0.947,0.569
STORM,11,NaiveBayes,0.975,0.343,0.952,0.470
STORM,12,NaiveBayes,0.974,0.109,0.948,0.174
STORM,13,NaiveBayes,0.396,0.373,0.419,0.289
STORM,1,IBk,NaN,NaN,NaN,1.000
STORM,2,IBk,NaN,0.000,0.003,0.000
STORM,3,IBk,NaN,0.000,0.077,0.000
STORM,4,IBk,0.958,0.275,0.428,0.364
STORM,5,IBk,0.823,0.783,0.690,0.751
STORM,6,IBk,0.025,0.727,0.020,0.036
STORM,7,IBk,0.025,0.727,0.020,0.040
STORM,8,IBk,0.091,0.071,0.012,0.075
STORM,9,IBk,0.929,0.072,0.139,0.124
STORM,10,IBk,0.991,0.344,0.843,0.477
STORM,11,IBk,0.996,0.754,0.897,0.840
STORM,12,IBk,0.994,0.920,0.966,0.949
STORM,13,IBk,0.784,0.786,0.653,0.751
